,date,real_output,RFR
23400,1567965600000,0.01,0.056799999999999955
23401,1567969200000,0.0,1.8905362660926552e-06
23402,1567972800000,0.0,1.8905362660926552e-06
23403,1567976400000,0.0,1.8905362660926552e-06
23404,1567980000000,0.0,1.8905362660926552e-06
23405,1567983600000,0.0,1.8905362660926552e-06
23406,1567987200000,0.0,1.8905362660926552e-06
23407,1567990800000,0.0,1.8905362660926552e-06
23408,1567994400000,0.0,1.8905362660926552e-06
23409,1567998000000,0.0,1.8905362660926552e-06
23410,1568001600000,0.0,1.8905362660926552e-06
23411,1568005200000,0.07,0.2601999999999999
23412,1568008800000,0.46,0.9643
23413,1568012400000,0.75,1.4972
23414,1568016000000,1.18,3.3731
23415,1568019600000,1.68,3.364699999999999
23416,1568023200000,3.46,3.7897999999999996
23417,1568026800000,3.85,4.9228999999999985
23422,1568044800000,4.8,4.538700000000001
23423,1568048400000,1.82,1.4951000000000005
23425,1568055600000,0.0,0.16709999999999997
23426,1568059200000,0.0,1.8905362660926552e-06
23427,1568062800000,0.0,1.8905362660926552e-06
23428,1568066400000,0.0,1.8905362660926552e-06
23429,1568070000000,0.0,1.8905362660926552e-06
23431,1568077200000,0.0,1.8905362660926552e-06
23432,1568080800000,0.0,1.8905362660926552e-06
23433,1568084400000,0.0,1.8905362660926552e-06
23434,1568088000000,0.0,1.8905362660926552e-06
23435,1568091600000,0.38,0.2654999999999999
23437,1568098800000,5.48,3.324600000000001
23438,1568102400000,8.76,8.168100000000004
23439,1568106000000,10.92,10.626800000000005
23440,1568109600000,12.48,12.812499999999998
23441,1568113200000,13.11,13.368299999999994
23445,1568127600000,4.73,6.107100000000005
23446,1568131200000,2.94,2.1826000000000003
23447,1568134800000,0.58,0.6998000000000002
23449,1568142000000,0.0,0.07469999999999995
23450,1568145600000,0.0,1.8905362660926552e-06
23451,1568149200000,0.0,1.8905362660926552e-06
23452,1568152800000,0.0,1.8905362660926552e-06
23453,1568156400000,0.0,1.8905362660926552e-06
23455,1568163600000,0.0,1.8905362660926552e-06
23456,1568167200000,0.0,1.8905362660926552e-06
23457,1568170800000,0.0,1.8905362660926552e-06
23458,1568174400000,0.0,1.8905362660926552e-06
23459,1568178000000,0.05,0.14490000000000008
23460,1568181600000,1.02,0.9017999999999999
23465,1568214000000,4.38,4.476400000000004
23466,1568217600000,2.6,4.812300000000004
23467,1568221200000,1.25,0.9508000000000003
23469,1568228400000,0.0,0.11199999999999992
23470,1568232000000,0.0,1.8905362660926552e-06
23471,1568235600000,0.0,1.8905362660926552e-06
23472,1568239200000,0.0,1.8905362660926552e-06
23473,1568242800000,0.0,1.8905362660926552e-06
23474,1568246400000,0.0,1.8905362660926552e-06
23475,1568250000000,0.0,1.8905362660926552e-06
23476,1568253600000,0.0,1.8905362660926552e-06
23477,1568257200000,0.0,1.8905362660926552e-06
23478,1568260800000,0.0,1.8905362660926552e-06
23479,1568264400000,0.04,0.2653
23480,1568268000000,0.68,1.3631999999999989
23481,1568271600000,3.55,2.177099999999998
23482,1568275200000,7.43,6.8636
23483,1568278800000,10.98,10.585500000000007
23484,1568282400000,13.74,13.129899999999997
23485,1568286000000,14.54,13.9801
23487,1568293200000,11.78,12.509399999999996
23488,1568296800000,10.12,9.964399999999996
23489,1568300400000,5.23,7.272699999999998
23490,1568304000000,4.52,5.0877000000000026
23491,1568307600000,1.97,1.0574000000000006
23493,1568314800000,0.0,0.18619999999999998
23494,1568318400000,0.0,1.8905362660926552e-06
23495,1568322000000,0.0,1.8905362660926552e-06
