date,air_humidity_id,sun_hours_id,output
1538953200000,97,0.0,0.0
1538956800000,91,0.0,0.0
1538960400000,88,0.0,0.0
1538964000000,84,0.0,0.0
1538967600000,86,0.0,0.0
1538971200000,84,0.0,0.0
1538974800000,82,0.0,0.0
1538978400000,84,1.5,0.03
1538982000000,87,5.9,0.23
1538985600000,80,6.5,0.6
1538989200000,71,11.6,1.06
1538992800000,80,13.2,0.93
1538996400000,85,13.1,1.42
1539000000000,91,11.2,0.84
1539003600000,84,7.9,0.52
1539007200000,81,4.6,0.35
1539010800000,79,1.3,0.55
1539014400000,79,0.0,0.09
1539018000000,84,0.0,0.0
1539021600000,85,0.0,0.0
1539025200000,87,0.0,0.0
1539028800000,88,0.0,0.0
1539032400000,86,0.0,0.0
1539036000000,86,0.0,0.0
1539039600000,94,0.0,0.0
1539043200000,99,0.0,0.0
1539046800000,100,0.0,0.0
1539050400000,100,0.0,0.0
1539054000000,100,0.0,0.0
1539057600000,100,0.0,0.0
1539061200000,99,0.0,0.0
1539064800000,97,0.9,0.08
1539068400000,94,5.0,0.28
1539072000000,90,12.5,1.72
1539075600000,85,18.2,2.25
1539079200000,86,16.2,1.8
1539082800000,88,17.0,0.93
1539086400000,87,15.5,0.83
1539090000000,86,9.6,0.54
1539093600000,86,4.1,0.2
1539097200000,84,1.6,0.13
1539100800000,82,0.0,0.03
1539104400000,84,0.0,0.0
1539108000000,90,0.0,0.0
1539111600000,86,0.0,0.0
1539115200000,88,0.0,0.0
1539118800000,83,0.0,0.0
1539122400000,75,0.0,0.0
1539126000000,75,0.0,0.0
1539129600000,75,0.0,0.0
1539133200000,74,0.0,0.0
1539136800000,74,0.0,0.0
1539140400000,75,0.0,0.0
1539144000000,76,0.0,0.0
1539147600000,77,0.0,0.0
1539151200000,77,0.8,0.01
1539154800000,78,4.9,0.09
1539158400000,77,7.8,0.41
1539162000000,72,22.2,0.91
1539165600000,71,17.7,3.67
1539169200000,68,23.8,3.02
1539172800000,65,18.8,0.97
1539176400000,65,12.5,0.58
1539180000000,69,4.0,0.42
1539183600000,75,2.5,0.2
1539187200000,78,0.0,0.02
1539190800000,78,0.0,0.0
1539194400000,80,0.0,0.0
1539198000000,83,0.0,0.0
1539201600000,85,0.0,0.0
1539205200000,86,0.0,0.0
1539208800000,87,0.0,0.0
1539212400000,88,0.0,0.0
1539216000000,89,0.0,0.0
1539219600000,89,0.0,0.0
1539223200000,88,0.0,0.0
1539226800000,88,0.0,0.0
1539230400000,90,0.0,0.0
1539234000000,94,0.0,0.0
1539237600000,98,2.0,0.06
1539241200000,97,6.5,0.82
1539244800000,91,11.7,1.49
1539248400000,87,8.6,1.11
1539252000000,83,16.4,0.89
1539255600000,81,10.8,1.0
1539259200000,82,9.7,0.89
1539262800000,89,6.0,0.53
1539266400000,95,3.0,0.33
1539270000000,99,0.9,0.16
1539273600000,98,0.0,0.03
1539277200000,100,0.0,0.0
1539280800000,100,0.0,0.0
1539284400000,100,0.0,0.0
1539288000000,100,0.0,0.0
1539291600000,100,0.0,0.0
1539295200000,100,0.0,0.0
1539298800000,100,0.0,0.0
1539302400000,100,0.0,0.0
1539306000000,100,0.0,0.0
1539309600000,100,0.0,0.0
1539313200000,100,0.0,0.0
1539316800000,100,0.0,0.0
1539320400000,100,0.0,0.0
1539324000000,100,1.4,0.06
1539327600000,100,6.8,0.56
1539331200000,98,14.0,1.48
1539334800000,90,23.0,3.29
1539338400000,83,27.6,3.8
1539342000000,77,27.2,4.67
1539345600000,81,22.5,4.64
1539349200000,79,14.1,4.13
1539352800000,80,6.9,2.87
1539356400000,84,1.9,1.19
1539360000000,89,0.0,0.12
1539363600000,91,0.0,0.0
1539367200000,92,0.0,0.0
1539370800000,92,0.0,0.0
1539374400000,92,0.0,0.0
1539378000000,95,0.0,0.0
1539381600000,96,0.0,0.0
1539385200000,97,0.0,0.0
1539388800000,98,0.0,0.0
1539392400000,98,0.0,0.0
1539396000000,98,0.0,0.0
1539399600000,99,0.0,0.0
1539403200000,99,0.0,0.0
1539406800000,100,0.0,0.0
1539410400000,99,1.4,0.05
1539414000000,92,4.4,1.01
1539417600000,87,10.0,1.17
1539421200000,82,17.6,2.02
1539424800000,78,17.2,2.31
1539428400000,79,11.2,2.98
1539432000000,72,22.9,2.06
1539435600000,71,8.6,2.32
1539439200000,71,4.4,2.5
1539442800000,79,0.9,0.67
1539446400000,81,0.0,0.08
1539450000000,83,0.0,0.0
1539453600000,81,0.0,0.0
1539457200000,83,0.0,0.0
1539460800000,85,0.0,0.0
1539464400000,87,0.0,0.0
