date,air_humidity_id,cloud_coverage_id,air_pressure_id,sun_hours_id,output
1553256000000,34,13,1031.1,42.3,11.14
1553320800000,84,100,1014.1,1.2,0.17
1553342400000,55,38,1012.0,37.1,12.56
1553364000000,52,25,1012.6,0.0,0.01
1553407200000,56,0,1016.0,4.0,0.3
1553428800000,34,63,1012.8,23.2,7.73
1553450400000,55,75,1008.9,0.0,0.02
1553493600000,87,38,1006.6,3.3,0.5
1553515200000,35,25,1011.2,32.2,12.52
1553536800000,35,88,1012.8,0.0,0.04
1553580000000,50,88,1008.6,2.6,0.46
1553601600000,56,88,1015.1,14.3,12.62
1553623200000,57,50,1018.1,0.0,0.02
1553666400000,62,63,1017.0,2.9,0.37
1553688000000,49,50,1018.8,42.1,0.0
1553709600000,53,25,1021.3,0.0,0.03
1553752800000,66,50,1023.8,4.7,0.8
1553774400000,43,100,1021.8,24.2,6.96
1553796000000,57,88,1020.0,0.0,0.03
1553839200000,78,100,1014.1,2.1,0.27
1553860800000,63,100,1012.3,12.2,11.43
1553925600000,82,25,1012.5,5.5,0.47
1553947200000,54,25,1010.2,42.9,5.54
1553968800000,70,88,1005.7,0.0,0.0
1554012000000,84,100,1005.5,2.3,0.66
1554033600000,43,25,1013.2,40.9,12.51
1554055200000,39,13,1017.8,0.0,0.08
1554098400000,62,0,1027.1,7.1,0.71
1554120000000,35,38,1027.5,51.4,12.62
1554141600000,50,50,1025.9,0.0,0.09
1554184800000,62,75,1024.8,6.2,0.96
1554206400000,28,25,1022.5,51.9,11.79
1554228000000,47,25,1020.4,0.0,0.12
1554271200000,61,38,1016.5,6.0,0.97
1554292800000,50,75,1015.6,22.0,10.43
1554314400000,58,75,1014.5,0.0,0.05
1554357600000,62,75,1013.9,6.2,0.76
1554379200000,40,75,1013.4,31.4,7.33
1554400800000,56,88,1014.4,0.0,0.1
1554487200000,86,75,1020.1,0.0,0.07
1554530400000,65,63,1020.1,5.1,1.03
1554552000000,24,38,1018.5,32.7,8.45
1554573600000,46,100,1016.4,0.0,0.17
1554616800000,80,100,1009.8,2.3,0.51
1554638400000,46,75,1009.7,16.4,12.24
1554660000000,62,100,1011.2,0.0,0.03
1554703200000,88,100,1012.8,2.1,0.26
1554724800000,67,100,1015.1,14.7,8.99
1554746400000,50,75,1016.4,0.0,0.17
1554789600000,62,100,1015.1,3.2,0.73
1554832800000,76,100,1017.1,0.0,0.07
1554876000000,70,100,1020.6,2.8,0.0
1554897600000,58,100,1022.9,15.7,0.43
1554919200000,68,100,1024.8,0.0,0.14
1554962400000,67,88,1027.9,3.4,0.67
1554984000000,66,100,1029.6,17.2,6.15
1555005600000,53,13,1030.1,0.0,0.22
1555048800000,60,63,1032.0,6.6,0.99
1555070400000,43,25,1032.5,29.4,11.63
1555092000000,55,38,1032.7,0.0,0.23
1555156800000,38,100,1035.6,22.1,12.41
1555178400000,49,25,1035.2,0.0,0.23
1555221600000,69,100,1037.3,5.2,1.19
1555243200000,35,88,1037.8,31.7,12.0
1555264800000,43,13,1036.8,0.0,0.25
1555308000000,59,0,1038.0,11.5,1.03
1555329600000,31,13,1036.4,52.8,12.85
1555351200000,43,13,1035.0,0.0,0.26
1555394400000,65,25,1034.6,11.9,1.26
1555416000000,34,25,1034.7,55.9,5.56
1555437600000,38,13,1034.3,0.1,0.32
1555480800000,57,0,1035.5,14.7,0.99
